epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,879.708,0.42842,0.29401,0.7894,0.99338,0.99579,0.99491,0.92953,0.30259,0.22562,0.79185,0.00033032,0.00033032,0.00033032
43,897.771,0.41384,0.28685,0.78829,0.99518,0.99563,0.9949,0.93782,0.29171,0.21675,0.7911,0.000324815,0.000324815,0.000324815
44,915.742,0.41646,0.2921,0.78951,0.9915,0.99603,0.99495,0.93454,0.29644,0.21652,0.79078,0.000319311,0.000319311,0.000319311
45,933.614,0.41866,0.29328,0.78678,0.99462,0.99537,0.99495,0.94005,0.28416,0.22059,0.79145,0.000313806,0.000313806,0.000313806
46,951.717,0.41866,0.29738,0.78743,0.9934,0.99508,0.9949,0.93609,0.29889,0.22464,0.791,0.000308302,0.000308302,0.000308302
47,969.935,0.41586,0.28927,0.78838,0.99347,0.99475,0.99485,0.93288,0.29627,0.23578,0.79118,0.000302798,0.000302798,0.000302798
48,988.323,0.41473,0.28981,0.78651,0.99161,0.99477,0.99488,0.93903,0.28365,0.22137,0.7908,0.000297293,0.000297293,0.000297293
49,1006.38,0.40845,0.28858,0.78721,0.99309,0.99494,0.99491,0.93507,0.28564,0.21665,0.78955,0.000291789,0.000291789,0.000291789
50,1024.8,0.41279,0.28535,0.7868,0.99403,0.99568,0.99491,0.94192,0.28478,0.2207,0.79099,0.000286284,0.000286284,0.000286284
51,1043.74,0.40869,0.28153,0.78691,0.99386,0.99703,0.99493,0.94089,0.28216,0.21062,0.78933,0.00028078,0.00028078,0.00028078
52,1062.54,0.41415,0.2825,0.78621,0.99642,0.99603,0.99494,0.93963,0.2821,0.20219,0.78926,0.000275276,0.000275276,0.000275276
53,1081.45,0.41445,0.28122,0.78734,0.99516,0.99363,0.99495,0.94175,0.28204,0.20865,0.78961,0.000269771,0.000269771,0.000269771
54,1100.5,0.40618,0.2806,0.78454,0.99403,0.99382,0.99485,0.93751,0.28723,0.22283,0.78985,0.000264267,0.000264267,0.000264267
55,1119.43,0.40737,0.27893,0.78597,0.99615,0.99515,0.99493,0.93257,0.29407,0.2232,0.79155,0.000258762,0.000258762,0.000258762
56,1138.3,0.40717,0.27979,0.7861,0.99645,0.99467,0.99495,0.94023,0.28361,0.20952,0.79029,0.000253258,0.000253258,0.000253258
57,1157.36,0.39981,0.27193,0.78429,0.99522,0.9955,0.99494,0.9411,0.27825,0.20089,0.78904,0.000247754,0.000247754,0.000247754
58,1176.14,0.40187,0.27156,0.78683,0.99455,0.99546,0.99485,0.93854,0.28227,0.20394,0.78995,0.000242249,0.000242249,0.000242249
59,1195.01,0.40139,0.26927,0.78453,0.99619,0.99531,0.99491,0.94068,0.28014,0.20124,0.79018,0.000236745,0.000236745,0.000236745
60,1213.98,0.39895,0.26726,0.7834,0.99664,0.99445,0.99494,0.93951,0.2845,0.2085,0.78914,0.00023124,0.00023124,0.00023124
61,1233.08,0.40057,0.26879,0.78509,0.99474,0.99384,0.99492,0.93393,0.28971,0.20705,0.78944,0.000225736,0.000225736,0.000225736
62,1252.16,0.39132,0.26574,0.78377,0.99603,0.99624,0.99492,0.94156,0.2787,0.19948,0.78865,0.000220232,0.000220232,0.000220232
63,1271.65,0.39477,0.26528,0.78489,0.99734,0.99459,0.99489,0.94235,0.28112,0.19809,0.7884,0.000214727,0.000214727,0.000214727
64,1290.66,0.39399,0.26462,0.78507,0.99489,0.99625,0.99493,0.94447,0.2676,0.1992,0.7878,0.000209223,0.000209223,0.000209223
65,1309.47,0.3925,0.26537,0.78354,0.99627,0.99653,0.99496,0.9357,0.28109,0.1996,0.78971,0.000203718,0.000203718,0.000203718
66,1329.34,0.39291,0.26279,0.7832,0.99523,0.99711,0.99497,0.94549,0.26933,0.20175,0.78679,0.000198214,0.000198214,0.000198214
67,1348.54,0.38851,0.25959,0.78078,0.99552,0.9951,0.99493,0.94172,0.26927,0.19155,0.78781,0.00019271,0.00019271,0.00019271
68,1367.39,0.39487,0.26005,0.7833,0.99621,0.99503,0.99494,0.94432,0.268,0.19268,0.78694,0.000187205,0.000187205,0.000187205
69,1386.48,0.39092,0.26119,0.78326,0.99473,0.99702,0.99493,0.94213,0.27036,0.18917,0.78597,0.000181701,0.000181701,0.000181701
70,1405.25,0.39163,0.26024,0.78503,0.99635,0.9971,0.99497,0.93931,0.27183,0.19009,0.78735,0.000176196,0.000176196,0.000176196
71,1424.29,0.38836,0.25831,0.78414,0.9963,0.99576,0.99497,0.94076,0.26922,0.19042,0.7869,0.000170692,0.000170692,0.000170692
72,1443.57,0.38732,0.25841,0.78422,0.99619,0.99651,0.99497,0.93824,0.27475,0.19328,0.78787,0.000165188,0.000165188,0.000165188
73,1462.37,0.38427,0.2535,0.78272,0.99582,0.99672,0.99494,0.9398,0.276,0.19306,0.78751,0.000159683,0.000159683,0.000159683
74,1481.65,0.38361,0.25338,0.7839,0.99618,0.99663,0.99497,0.93366,0.28255,0.19482,0.78837,0.000154179,0.000154179,0.000154179
75,1500.63,0.37512,0.24769,0.78078,0.99615,0.99629,0.99494,0.94324,0.26556,0.18928,0.78665,0.000148674,0.000148674,0.000148674
